# Time (s), Z (m), Mach Number, Angle of Attack (°)
0.000000,1053.435327,0.005761,84.804507
0.001942,1053.435327,0.005761,84.804507
0.003883,1053.435327,0.005761,84.804507
0.007766,1053.435328,0.005761,84.793469
0.008543,1053.435329,0.005761,84.766911
0.009319,1053.435331,0.005762,84.718215
0.010873,1053.435340,0.005763,84.576584
0.012426,1053.435358,0.005765,84.346557
0.013979,1053.435391,0.005769,84.028345
0.029511,1053.437563,0.005909,76.153715
0.045044,1053.446483,0.006532,61.437468
0.048150,1053.449498,0.006759,58.090191
0.051257,1053.453007,0.007023,54.778171
0.054363,1053.457032,0.007316,51.648678
0.060576,1053.467693,0.007961,46.111106
0.066789,1053.480447,0.008670,41.433597
0.128919,1053.713392,0.017357,19.302072
0.191048,1054.158649,0.027020,12.259259
0.253178,1054.819212,0.037014,8.917181
0.459517,1058.592333,0.071525,4.604319
0.464321,1058.710427,0.072349,4.559930
0.469125,1058.829882,0.073175,4.516315
0.478732,1059.071519,0.074827,4.431511
0.488340,1059.318614,0.076483,4.349450
0.497948,1059.571176,0.078142,4.269923
0.590556,1062.287899,0.094295,3.600609
0.683163,1065.522537,0.110740,3.034376
0.737898,1067.681370,0.120592,2.720137
0.792633,1070.025862,0.130541,2.410626
0.847368,1072.557691,0.140584,2.100606
0.902103,1075.278479,0.150722,1.787125
0.956838,1078.189807,0.160950,1.469357
1.011573,1081.293185,0.171268,1.148553
1.066308,1084.590060,0.181673,0.828138
1.136826,1089.125157,0.195205,0.427121
1.207345,1093.986586,0.208873,0.120005
1.277864,1099.177001,0.222674,0.348306
1.348383,1104.698929,0.236602,0.630549
1.418902,1110.554751,0.250653,0.841590
1.479312,1115.838512,0.262784,0.949249
1.526677,1120.154693,0.272355,0.980816
1.574041,1124.624137,0.281976,0.964254
1.621406,1129.247546,0.291646,0.900413
1.668770,1134.025644,0.301366,0.792728
1.722448,1139.628567,0.312439,0.625415
1.776126,1145.432200,0.323569,0.423291
1.829804,1151.437644,0.334757,0.205750
1.883482,1157.646004,0.345999,0.066655
1.937160,1164.058341,0.357291,0.234653
1.981717,1169.536776,0.366703,0.368536
2.026274,1175.157023,0.376146,0.467283
2.070831,1180.919585,0.385620,0.522865
2.106587,1185.647251,0.393244,0.533488
2.142344,1190.467089,0.400888,0.513783
2.178101,1195.379289,0.408549,0.465534
2.213857,1200.384013,0.416227,0.392288
2.272528,1208.796694,0.428862,0.232176
2.318041,1215.494978,0.438693,0.093431
2.363554,1222.343900,0.448546,0.065658
2.409067,1229.343607,0.458423,0.182025
2.454580,1236.494239,0.468320,0.272307
2.500093,1243.795913,0.478235,0.321291
2.545607,1251.248756,0.488168,0.323806
2.591120,1258.852942,0.498118,0.281383
2.636633,1266.608652,0.508081,0.202109
2.681976,1274.486144,0.518020,0.100340
2.713783,1280.102055,0.525000,0.030898
2.745590,1285.792247,0.531984,0.059706
2.777397,1291.556791,0.538973,0.123220
2.809204,1297.395739,0.545966,0.174808
2.841011,1303.309134,0.552962,0.209098
2.872818,1309.297006,0.559961,0.223520
2.904625,1315.359373,0.566962,0.217469
2.936432,1321.496229,0.573965,0.192268
2.973015,1328.646755,0.582021,0.143744
3.009599,1335.895719,0.590078,0.081462
3.038921,1341.776873,0.596536,0.029786
3.068244,1347.721153,0.602994,0.032370
3.097566,1353.728493,0.609450,0.077117
3.126888,1359.798829,0.615905,0.113868
3.156210,1365.932098,0.622359,0.137978
3.197715,1374.721009,0.631490,0.147078
3.239220,1383.635720,0.640614,0.126960
3.269738,1390.270782,0.647319,0.096777
3.300256,1396.973730,0.654020,0.058044
3.330774,1403.744522,0.660717,0.017819
3.361292,1410.583107,0.667408,0.030835
3.391810,1417.489425,0.674093,0.066016
3.422328,1424.463408,0.680771,0.092240
3.465650,1434.479439,0.690241,0.107768
3.501280,1442.819051,0.698017,0.100159
3.536911,1451.250453,0.705783,0.076587
3.572541,1459.773428,0.713536,0.042404
3.608171,1468.387740,0.721278,0.008690
3.643802,1477.093146,0.729006,0.033164
3.679432,1485.889397,0.736719,0.058365
3.723547,1496.905790,0.746248,0.070604
